,ticker,esg_rating,carbon_intensity,quality_score,quality_score_qtl,carbon_intensity_qtl,grade
2797,BFTR,A,29.5,6.05,Q2,Q1,D
2798,CLNR,AA,81.68,7.31,Q4,Q2,
2799,ESGN,AA,132.61,7.97,Q4,Q2,D
2800,CN,BB,277.09,4.12,Q1,Q4,F
2801,GDEF,,,,Q4,Q4,
2802,MOTE,A,17.23,7.02,Q4,Q1,
2803,IWFG,,,,Q4,Q4,
2804,CTEX,A,237.78,6.49,Q3,Q3,C
2805,KTEC,BBB,26.74,5.55,Q1,Q1,F
2806,GBLD,A,73.33,6.42,Q3,Q2,F
2807,VERS,A,22.84,5.8,Q2,Q1,
2808,HIDV,,,,Q4,Q4,
2809,YXI,,,,Q4,Q4,
2810,IXSE,BBB,439.53,5.55,Q1,Q4,F
2811,GFOF,BB,,,Q4,Q4,
2812,IBHI,BBB,323.89,5.45,Q1,Q4,
2813,ESEB,BBB,1.6,4.32,Q1,Q1,
2814,PLRG,A,113.86,6.69,Q3,Q2,C
2815,XHYH,A,35.43,6.15,Q2,Q1,
2816,JRNY,A,285.05,6.27,Q2,Q4,
2817,SSG,,,,Q4,Q4,
2818,CCON,BB,,,Q4,Q4,
2819,PEMX,,,,Q4,Q4,
2820,JHID,,,,Q4,Q4,
2821,ROCI,A,96.06,6.79,Q3,Q2,C
2822,INQQ,,,,Q4,Q4,
2823,EEV,,,,Q4,Q4,
2824,BLCV,,,,Q4,Q4,
2825,SNPG,,,,Q4,Q4,
2826,CPI,A,178.11,6.06,Q2,Q3,
2827,HARD,,,,Q4,Q4,
2828,FLFR,AA,118.2,7.77,Q4,Q2,B
2829,XPND,A,24.91,6.91,Q4,Q1,C
2830,ESHY,BBB,231.45,5.43,Q1,Q3,
2831,USVT,A,203.21,6.0,Q2,Q3,
2832,TOLL,,,,Q4,Q4,
2833,CHIE,B,,2.31,Q1,Q4,D
2834,FSLD,A,209.85,6.43,Q3,Q3,
2835,FBZ,BBB,430.71,5.04,Q1,Q4,F
2836,CHIR,BBB,,,Q4,Q4,F
2837,TSOC,,,,Q4,Q4,
2838,PSCQ,,,,Q4,Q4,
2839,IVEG,AA,176.46,7.74,Q4,Q3,
2840,BNE,A,247.9,6.52,Q3,Q4,
2841,PLTL,BBB,113.97,5.25,Q1,Q2,C
2842,HVAL,A,83.69,6.88,Q4,Q2,D
2843,CBSE,A,224.51,5.75,Q2,Q3,
2844,NSCS,BBB,149.3,5.46,Q1,Q3,D
2845,IVRS,,,,Q4,Q4,
2846,IDAT,A,50.07,6.59,Q3,Q1,C
2847,MSTQ,A,45.06,6.17,Q2,Q1,
2848,SPCZ,,,,Q4,Q4,F
2849,KBUY,BB,80.66,3.74,Q1,Q2,F
2850,MEMX,,,,Q4,Q4,D
2851,BIGB,,,,Q4,Q4,
2852,BMED,A,27.27,6.46,Q3,Q1,D
2853,SULR,AA,,,Q4,Q4,
2854,IWTR,,,,Q4,Q4,
2855,NTZG,,,,Q4,Q4,D
2856,UDI,,,,Q4,Q4,D
2857,NWLG,AA,60.1,7.38,Q4,Q1,D
2858,SOLR,AA,279.93,7.48,Q4,Q4,D
2859,CARU,,,,Q4,Q4,
2860,BYRE,,,,Q4,Q4,
2861,ISHP,A,31.26,5.93,Q2,Q1,
2862,JULQ,,,,Q4,Q4,
2863,FPXE,A,167.64,6.95,Q4,Q3,
2864,CHII,BB,253.23,3.07,Q1,Q4,F
2865,TSJA,,,,Q4,Q4,
2866,KROP,BBB,175.84,5.35,Q1,Q3,
2867,FLIY,A,182.11,6.92,Q4,Q3,C
2868,NBCC,BBB,68.99,5.7,Q1,Q2,
2869,SNPV,,,,Q4,Q4,
2870,SYII,,,,Q4,Q4,
2871,LSGR,,,,Q4,Q4,
2872,SATO,,,,Q4,Q4,
2873,DMAT,BBB,382.25,5.36,Q1,Q4,
2874,CBLS,,,,Q4,Q4,
2875,WBAT,BBB,211.48,5.4,Q1,Q3,
2876,EATV,A,187.36,6.05,Q2,Q3,
2877,EQLS,,,,Q4,Q4,
2878,DECZ,A,4.2,5.72,Q1,Q1,
2879,EQUL,A,60.77,7.08,Q4,Q1,
2880,REW,,,,Q4,Q4,
2881,EWV,,,,Q4,Q4,
2882,JRE,A,56.26,5.76,Q2,Q1,
2883,LRND,A,18.78,6.48,Q3,Q1,
2884,JOJO,BBB,286.49,5.23,Q1,Q4,
2885,KRUZ,,,,Q4,Q4,
2886,QRFT,A,63.84,6.96,Q4,Q1,D
2887,AFLG,A,110.04,6.53,Q3,Q2,D
2888,SMDD,,,,Q4,Q4,
2889,SNPD,,,,Q4,Q4,
2890,ICOP,,,,Q4,Q4,
2891,ASHX,BB,324.07,3.25,Q1,Q4,F
2892,EAOM,A,91.35,7.09,Q4,Q2,
2893,AGRH,,,,Q4,Q4,
2894,OAIB,,,,Q4,Q4,
2895,UBR,,,,Q4,Q4,
2896,AFMC,A,133.04,6.09,Q2,Q2,D
2897,FIXT,,,,Q4,Q4,
2898,PSWD,,,,Q4,Q4,
2899,EEMO,BBB,697.37,5.09,Q1,Q4,F
2900,BIS,,,,Q4,Q4,
2901,MUSQ,,,,Q4,Q4,
2902,DOGG,,,,Q4,Q4,
2903,UPGR,,,,Q4,Q4,
2904,IQRA,,,,Q4,Q4,
2905,SYNB,,,,Q4,Q4,
2906,APRZ,A,4.2,5.72,Q1,Q1,
2907,EVXX,,,,Q4,Q4,
2908,EGUS,,,,Q4,Q4,
2909,CHPS,,,,Q4,Q4,
2910,OCEN,AA,85.05,8.44,Q4,Q2,
2911,GAST,A,83.23,6.89,Q4,Q2,
2912,DWMC,,,,Q4,Q4,F
2913,BTHM,A,93.01,6.47,Q3,Q2,C
2914,UPV,,,,Q4,Q4,
2915,IBRN,,,,Q4,Q4,
2916,NVQ,A,82.39,6.21,Q2,Q2,D
2917,AMPD,,,,Q4,Q4,
2918,AMZD,,,,Q4,Q4,
2919,LITP,,,,Q4,Q4,
2920,HAUS,BBB,58.08,4.53,Q1,Q1,
2921,KLNE,A,199.4,6.66,Q3,Q3,
2922,FEEM,A,175.55,6.59,Q3,Q3,
2923,MRND,A,26.12,6.37,Q2,Q1,
2924,ILIT,,,,Q4,Q4,
2925,KMET,,,,Q4,Q4,
2926,EFRA,,,,Q4,Q4,
2927,KBND,BB,9.41,3.11,Q1,Q1,
2928,WNDY,A,196.35,7.06,Q4,Q3,
2929,KESG,A,115.19,6.11,Q2,Q2,
2930,AFTY,BBB,152.53,4.4,Q1,Q3,F
2931,JETU,,,,Q4,Q4,
2932,KFYP,BB,198.91,3.74,Q1,Q3,
2933,BNGE,A,12.98,6.3,Q2,Q1,
2934,MKAM,,,,Q4,Q4,
2935,MEDI,,,,Q4,Q4,
2936,CHNA,BBB,129.37,5.14,Q1,Q2,F
2937,BPAY,,,,Q4,Q4,D
2938,DZZ,,,,Q4,Q4,
2939,BBSB,,,,Q4,Q4,
2940,OBOR,BBB,942.44,4.42,Q1,Q4,F
2941,BECO,AA,191.38,7.85,Q4,Q3,D
2942,BBIB,,,,Q4,Q4,
2943,VCAR,A,22.01,6.84,Q4,Q1,F
2944,MTVR,,,,Q4,Q4,
2945,MAYZ,A,4.2,5.72,Q1,Q1,
2946,BLHY,BBB,240.17,4.88,Q1,Q4,D
2947,AAPB,,,,Q4,Q4,
2948,BEDZ,BBB,335.46,4.7,Q1,Q4,
2949,SHNY,,,,Q4,Q4,
2950,AWEG,,,,Q4,Q4,
2951,ETEC,,,,Q4,Q4,
2952,RYSE,,,,Q4,Q4,
2953,EMGD,BBB,339.37,5.37,Q1,Q4,
2954,ESIX,BBB,88.04,5.58,Q1,Q2,
2955,RYLG,,,,Q4,Q4,
2956,EVUS,,,,Q4,Q4,
2957,GCAD,,,,Q4,Q4,
2958,MARZ,A,4.2,5.72,Q1,Q1,
2959,VIRS,A,21.74,7.04,Q4,Q1,
2960,MVPS,A,48.87,6.81,Q3,Q1,
2961,DSOC,,,,Q4,Q4,
2962,BWET,,,,Q4,Q4,
2963,GLIF,AA,532.32,7.26,Q4,Q4,
2964,RAYS,BBB,239.31,5.45,Q1,Q4,
2965,XDAT,A,27.82,6.91,Q4,Q1,D
2966,AFSM,BBB,183.79,5.06,Q1,Q3,D
2967,BNDI,,,,Q4,Q4,
2968,TRFK,,,,Q4,Q4,
2969,SEA,BBB,505.91,5.43,Q1,Q4,
2970,WEIX,,,,Q4,Q4,
2971,FAIL,BBB,133.88,5.56,Q1,Q3,
2972,IBMR,,,,Q4,Q4,
2973,VEMY,,,,Q4,Q4,
2974,STLG,A,98.94,7.02,Q4,Q2,C
2975,DAT,A,7.3,6.5,Q3,Q1,D
2976,TYLG,,,,Q4,Q4,
2977,ILDR,A,23.8,6.51,Q3,Q1,
2978,NSPY,,,,Q4,Q4,
2979,BIGT,,,,Q4,Q4,
2980,YUMY,AA,132.68,7.65,Q4,Q2,
2981,QQJG,A,45.06,6.76,Q3,Q1,
2982,GGLS,,,,Q4,Q4,
2983,SIJ,,,,Q4,Q4,
2984,IRVH,,,,Q4,Q4,D
2985,FEBZ,A,4.2,5.72,Q1,Q1,
2986,USE,,,,Q4,Q4,
2987,UFIV,,,,Q4,Q4,
2988,AVIE,,,,Q4,Q4,C
2989,FDWM,A,103.59,7.07,Q4,Q2,
2990,JETD,,,,Q4,Q4,
2991,TAEQ,BBB,,,Q4,Q4,
2992,BCDF,,,,Q4,Q4,F
